2024-10-19 11:37:56 - INFO - ep: 92/500, t: 35.641, train_loss: 1290.8545, batch_loss: 767.0388, IC: 27.8779, EQ: 71.5392, BC_G: 476.5021, BC_P: 191.1197, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:38:31 - INFO - ep: 93/500, t: 35.323, train_loss: 1106.7948, batch_loss: 1141.0469, IC: 28.9965, EQ: 70.7893, BC_G: 942.3193, BC_P: 98.9417, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:39:07 - INFO - ep: 94/500, t: 35.155, train_loss: 1090.1980, batch_loss: 717.2783, IC: 34.4498, EQ: 74.5436, BC_G: 490.2230, BC_P: 118.0617, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:39:42 - INFO - ep: 95/500, t: 35.104, train_loss: 1059.6537, batch_loss: 891.4119, IC: 40.3803, EQ: 91.9935, BC_G: 528.1017, BC_P: 230.9363, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:40:17 - INFO - ep: 96/500, t: 35.223, train_loss: 1215.3254, batch_loss: 1047.9570, IC: 33.2032, EQ: 76.9142, BC_G: 765.3610, BC_P: 172.4786, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:40:52 - INFO - ep: 97/500, t: 35.258, train_loss: 1005.5225, batch_loss: 705.7551, IC: 47.1407, EQ: 108.7821, BC_G: 474.8048, BC_P: 75.0275, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:41:27 - INFO - ep: 98/500, t: 35.188, train_loss: 979.7237, batch_loss: 1137.5304, IC: 79.0140, EQ: 136.5091, BC_G: 522.2993, BC_P: 100.9846, T_f: 0.0170, T_Pres: 468.8496
2024-10-19 11:42:03 - INFO - ep: 99/500, t: 35.258, train_loss: 1157.3693, batch_loss: 944.4496, IC: 32.6664, EQ: 80.5834, BC_G: 640.2659, BC_P: 190.9339, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:42:38 - INFO - ep: 100/500, t: 35.551, train_loss: 700.0031, batch_loss: 711.0853, IC: 67.9118, EQ: 106.6398, BC_G: 296.4177, BC_P: 38.9789, T_f: 0.0106, T_Pres: 218.5832
2024-10-19 11:43:14 - INFO - ep: 101/500, t: 35.507, train_loss: 674.9766, batch_loss: 691.2156, IC: 69.5084, EQ: 108.3147, BC_G: 265.8240, BC_P: 44.9752, T_f: 0.0098, T_Pres: 269.7890
2024-10-19 11:43:49 - INFO - ep: 102/500, t: 35.502, train_loss: 628.6261, batch_loss: 412.9077, IC: 25.3032, EQ: 58.2842, BC_G: 227.2466, BC_P: 102.0737, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:44:25 - INFO - ep: 103/500, t: 35.607, train_loss: 671.6296, batch_loss: 768.1317, IC: 68.1304, EQ: 111.2157, BC_G: 260.4081, BC_P: 39.1225, T_f: 0.0083, T_Pres: 316.9352
2024-10-19 11:45:00 - INFO - ep: 104/500, t: 35.569, train_loss: 699.7720, batch_loss: 1215.2756, IC: 73.2169, EQ: 127.1243, BC_G: 523.1966, BC_P: 77.3291, T_f: 0.0146, T_Pres: 719.7159
2024-10-19 11:45:36 - INFO - ep: 105/500, t: 35.553, train_loss: 706.6815, batch_loss: 875.6833, IC: 20.4268, EQ: 51.4209, BC_G: 708.3360, BC_P: 95.4997, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:46:11 - INFO - ep: 106/500, t: 35.566, train_loss: 685.0028, batch_loss: 389.7668, IC: 20.4798, EQ: 58.9576, BC_G: 251.6779, BC_P: 58.6515, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:46:47 - INFO - ep: 107/500, t: 35.621, train_loss: 676.7723, batch_loss: 640.6110, IC: 58.4558, EQ: 109.2270, BC_G: 228.1776, BC_P: 73.6719, T_f: 0.0081, T_Pres: 275.5001
2024-10-19 11:47:23 - INFO - ep: 108/500, t: 35.606, train_loss: 726.0246, batch_loss: 695.9389, IC: 60.7994, EQ: 115.8887, BC_G: 349.2085, BC_P: 95.1757, T_f: 0.0091, T_Pres: 260.1328
2024-10-19 11:47:58 - INFO - ep: 109/500, t: 35.469, train_loss: 642.9941, batch_loss: 773.9380, IC: 61.9996, EQ: 112.0700, BC_G: 329.3925, BC_P: 62.6120, T_f: 0.0089, T_Pres: 414.0591
2024-10-19 11:48:34 - INFO - ep: 110/500, t: 35.532, train_loss: 689.9589, batch_loss: 722.3022, IC: 64.0348, EQ: 113.9364, BC_G: 507.3572, BC_P: 57.1949, T_f: 0.0106, T_Pres: 221.1974
2024-10-19 11:49:09 - INFO - ep: 111/500, t: 35.500, train_loss: 660.5688, batch_loss: 918.0175, IC: 63.3961, EQ: 99.1127, BC_G: 224.9506, BC_P: 54.6112, T_f: 0.0107, T_Pres: 566.4591
2024-10-19 11:49:45 - INFO - ep: 112/500, t: 35.424, train_loss: 590.9509, batch_loss: 416.4271, IC: 17.8524, EQ: 54.1229, BC_G: 291.5257, BC_P: 52.9261, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:50:20 - INFO - ep: 113/500, t: 35.492, train_loss: 657.0497, batch_loss: 790.0717, IC: 64.2868, EQ: 108.9150, BC_G: 321.4178, BC_P: 80.2643, T_f: 0.0130, T_Pres: 224.5644
2024-10-19 11:50:56 - INFO - ep: 114/500, t: 35.571, train_loss: 731.6874, batch_loss: 660.5660, IC: 28.8492, EQ: 71.1738, BC_G: 360.1732, BC_P: 200.3698, T_f: 0.0000, T_Pres: 0.0000
